list_size,cpp_insert_sort,cpp_merge_sort,cpp_quick_sort,python_insert_sort,python_merge_sort,python_quick_sort
10000,0.136,0.001,0.001,9.236265,0.036902,0.023936
20000,0.514,0.002,0.002,37.979375,0.087768,0.078786
30000,1.132,0.003,0.004,84.200727,0.145641,0.077791
40000,2.016,0.004,0.005,160.863471,0.212434,0.118687
50000,3.017,0.004,0.006,259.893939,0.32612,0.175532
60000,4.395,0.005,0.007,380.141975,0.419907,0.191533
70000,5.911,0.007,0.008,480.838091,0.47672,0.196467
80000,7.714,0.009,0.009,607.452352,0.567482,0.285235
90000,10.098,0.00,0.0119,774.838911,0.651252,0.257279
100000,13.377,0.012,0.015,950.392322,0.773898,0.299228
