list_size,cpp_insert_sort,cpp_merge_sort,cpp_quick_sort,python_insert_sort,python_merge_sort,python_quick_sort
10000,0.0,0.001,0.001,0.001995,0.047871,0.02593
20000,0.0,0.002,0.004,0.003989,0.090759,0.073804
30000,0.0,0.003,0.004,0.008978,0.14561,0.085742
40000,0.0,0.005,0.005,0.007979,0.200464,0.126633
50000,0.0,0.005,0.006,0.009974,0.287197,0.146609
60000,0.0,0.006,0.007,0.012965,0.354053,0.171509
70000,0.0,0.008,0.008,0.014961,0.485674,0.205456
80000,0.001,0.009,0.009,0.016956,0.548504,0.235371
90000,0.001,0.009,0.01,0.018949,0.669209,0.276232
100000,0.001,0.01,0.015,0.020943,0.812853,0.303182
