list_size,cpp_insert_sort,cpp_merge_sort,cpp_quick_sort,python_insert_sort,python_merge_sort,python_quick_sort
10000,0.064,0.001,0.001,4.419145,0.035905,0.021941
20000,0.238,0.003,0.003,17.290778,0.078792,0.042882
30000,0.538,0.005,0.005,42.490207,0.157419,0.0868
40000,1.024,0.007,0.006,85.178761,0.338095,0.266798
50000,1.553,0.008,0.008,116.950137,0.292219,0.119681
60000,2.148,0.011,0.011,161.65952,0.35106,0.144613
70000,2.962,0.012,0.011,244.492761,0.420873,0.187498
80000,3.817,0.014,0.013,321.63032,0.551497,0.248337
90000,4.812,0.016,0.015,420.549115,0.849548,0.288818
100000,6.089,0.021,0.02,589.891017,0.899155,0.312166
